file_a,file_b,cochange_count,jaccard
README.md,package.json,2,1.000000
src/main/index.ts,src/renderer/index.html,2,1.000000
src/main/index.ts,src/renderer/src/App.test.tsx,2,1.000000
src/main/index.ts,src/renderer/src/App.tsx,2,1.000000
src/main/index.ts,src/renderer/src/components/ConnectionPanel.tsx,2,1.000000
src/main/index.ts,src/renderer/src/components/HeaderBar.tsx,2,1.000000
src/main/index.ts,src/renderer/src/components/MarketPanel.tsx,2,1.000000
src/main/index.ts,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/main/index.ts,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/main/index.ts,src/renderer/src/lib/validation.test.ts,2,1.000000
src/main/index.ts,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/index.html,src/renderer/src/App.test.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/App.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/components/ConnectionPanel.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/components/HeaderBar.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/components/MarketPanel.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/index.html,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/index.html,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/App.tsx,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/components/ConnectionPanel.tsx,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/components/HeaderBar.tsx,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/components/MarketPanel.tsx,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/App.test.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/components/ConnectionPanel.tsx,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/components/HeaderBar.tsx,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/components/MarketPanel.tsx,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/App.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/components/HeaderBar.tsx,2,1.000000
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/components/MarketPanel.tsx,2,1.000000
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/components/ConnectionPanel.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/components/HeaderBar.tsx,src/renderer/src/components/MarketPanel.tsx,2,1.000000
src/renderer/src/components/HeaderBar.tsx,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/renderer/src/components/HeaderBar.tsx,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/src/components/HeaderBar.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/components/HeaderBar.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/components/MarketPanel.tsx,src/renderer/src/components/OrderTicket.tsx,2,1.000000
src/renderer/src/components/MarketPanel.tsx,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/src/components/MarketPanel.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/components/MarketPanel.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/components/OrderTicket.tsx,src/renderer/src/components/PositionsPanel.tsx,2,1.000000
src/renderer/src/components/OrderTicket.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/components/OrderTicket.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/components/PositionsPanel.tsx,src/renderer/src/lib/validation.test.ts,2,1.000000
src/renderer/src/components/PositionsPanel.tsx,src/renderer/src/lib/validation.ts,2,1.000000
src/renderer/src/lib/validation.test.ts,src/renderer/src/lib/validation.ts,2,1.000000
